country,percentage
Lithuania,0.59
Latvia,0.39
Romania,0.39
Slovakia,0.38
Bulgaria,0.35
Estonia,0.26
Netherlands,0.24
Hungary,0.21
Croatia,0.19
Ireland,0.14
Slovenia,0.14
Poland,0.13
Portugal,0.12
Spain,0.11
Italy,0.11
Greece,0.10
France,0.09
Belgium,0.08
Czech,0.08
UK,0.06
Sweden,0.05
Denmark,0.05
Austria,0.05
Finland,0.04
Malta,0.03
Germany,0.03
Luxembourg,0.03
Cyprus,0.01
